pathway	LV index	AUC	p-value	FDR
KEGG_LYSINE_DEGRADATION	1	0.388059066343249	0.866078204269868	0.9560054809564732
REACTOME_MRNA_SPLICING	1	0.733057478182365	4.77269060589604e-5	5.816211094303818e-4
MIPS_NOP56P_ASSOCIATED_PRE_RRNA_COMPLEX	1	0.680554566388909	0.00162821723879532	0.011365904802852768
KEGG_DNA_REPLICATION	1	0.549473460270184	0.312155086682323	0.5399506992572339
PID_MYC_ACTIVPATHWAY	1	0.639302662470653	0.0217016001629931	0.08373944821391076
REACTOME_METABOLISM_OF_NUCLEOTIDES	1	0.596121742163751	0.106493711572898	0.2668264449667718
PID_E2F_PATHWAY	1	0.571653189577718	0.157911969881	0.3475674684013439
REACTOME_MITOTIC_G1_G1_S_PHASES	1	0.68617034128662	2.51761875625062e-4	0.002392292360014356
IRIS_Monocyte-Day0	2	0.890035649073994	4.31581181614969e-25	1.329886583919269e-22
DMAP_MONO2	2	0.904675885106414	1.31397000183794e-16	1.5745740522024645e-14
DMAP_NKA1	2	0.901231343283582	1.1931016454409e-8	3.1006268062843634e-7
SVM Monocytes	2	0.962227530606151	6.36191305057917e-11	2.919712010659419e-9
SVM Macrophages M2	2	0.62072854164007	0.080749587665345	0.2217033165923393
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	2	0.53089552238806	0.334038691415825	0.562029217928186
KEGG_CHEMOKINE_SIGNALING_PATHWAY	2	0.556326366433508	0.0913737302423607	0.24124006870596332
REACTOME_TOLL_RECEPTOR_CASCADES	2	0.642201045453568	0.00211317669133334	0.013854474538620105
PID_TXA2PATHWAY	2	0.653186567164179	0.0168500155778101	0.07014372882178682
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	3	0.782361362266426	9.53225432517636e-8	2.1643234294110955e-6
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS	3	0.558517998169317	0.271982619617379	0.4939686378246317
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	3	0.628717488169666	0.034330626316092	0.1186717323137988
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	3	0.398680991383895	0.853253585910811	0.9488842355579266
REACTOME_POTASSIUM_CHANNELS	3	0.589888059701492	0.132424434082096	0.31047772208160984
PID_LKB1_PATHWAY	3	0.669583229762201	0.0230374480550549	0.08702587645315836
IRIS_MemoryTcell-RO-unactivated	4	0.521875620408974	0.418916762046188	0.6449462497476958
DMAP_BCELLA2	4	0.403509557945042	0.87806090210744	0.960270589492999
PID_RAC1_REG_PATHWAY	4	0.755106600280863	0.00492491500686303	0.026491375735170967
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	4	0.690914533752432	0.00424537547740766	0.023601223981361656
REACTOME_ION_CHANNEL_TRANSPORT	4	0.518303571428571	0.431989171866668	0.6557358506097135
KEGG_OOCYTE_MEIOSIS	4	0.591901617303966	0.0629538445614562	0.18833764593489738
PID_ERBB1_INTERNALIZATION_PATHWAY	4	0.744476843180657	0.00672543864424658	0.0339737029406086
REACTOME_NEURONAL_SYSTEM	4	0.67923156228138	3.97063838268781e-5	5.038039406739768e-4
REACTOME_L1CAM_INTERACTIONS	4	0.574102218691352	0.153422088706082	0.34151851944171197
PID_INTEGRIN3_PATHWAY	5	0.540575396825397	0.324125442087661	0.551371118756376
IRIS_Neutrophil-Resting	7	0.700633467952058	6.67318936979454e-11	2.9375651980911884e-9
SVM Monocytes	7	0.692878471185428	0.00518088281969649	0.027457406000209652
PID_IL8CXCR2_PATHWAY	7	0.724223479210082	0.0105790526644932	0.04928513303955039
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	7	0.707522388059701	0.00288128448640043	0.01731178450463991
SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES	7	0.541983028137561	0.333057525846126	0.5608158339188867
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	7	0.457277065314644	0.694162033346721	0.8551653543611804
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	7	0.534920676960564	0.272060612765722	0.4939686378246317
SVM NK cells resting	8	0.537374794438631	0.300695288615926	0.5268884951621059
REACTOME_LIPID_DIGESTION_MOBILIZATION_AND_TRANSPORT	8	0.561876767376098	0.270416564073042	0.4933805655423955
REACTOME_AMINO_ACID_AND_OLIGOPEPTIDE_SLC_TRANSPORTERS	8	0.623344247655901	0.111155827513241	0.2747035453959518
KEGG_PPAR_SIGNALING_PATHWAY	8	0.789898688421297	2.22129813071471e-4	0.0021704480497922586
REACTOME_TRIGLYCERIDE_BIOSYNTHESIS	8	0.486469524518668	0.557489983475304	0.7596373306103795
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	8	0.461378181276976	0.648772965755008	0.8296305656854757
REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	8	0.634394143134618	0.0358589272848828	0.1227741367515749
REACTOME_BIOLOGICAL_OXIDATIONS	8	0.62083386813845	0.0337334903776425	0.1175494971640951
KEGG_ARACHIDONIC_ACID_METABOLISM	8	0.53384130767921	0.358893839992842	0.5855779219852951
REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX	9	0.50150844563794	0.493480089715168	0.7096243690104116
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	9	0.656724828569489	0.0295676183490376	0.10576675419382107
REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM	9	0.703680266031368	0.0349729256021	0.12069856083796751
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_	9	0.430899915055214	0.834291469279884	0.9397820648181602
KEGG_VEGF_SIGNALING_PATHWAY	9	0.506378631584193	0.468056946095871	0.6868019270263903
PID_LKB1_PATHWAY	9	0.483726903637418	0.570378155276583	0.7675019843615655
IRIS_Monocyte-Day1	10	0.717265016467144	6.59666569664395e-11	2.9375651980911884e-9
IRIS_Monocyte-Day7	10	0.775432403074866	1.40021206485995e-15	1.3131554016969182e-13
SVM Macrophages M0	10	0.854759069028832	1.02449430034345e-4	0.0011217432516958485
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	10	0.391962686567164	0.927550399621555	0.9740633943445444
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	10	0.627890649930858	0.0742944110114134	0.21225568814783932
PID_FRA_PATHWAY	10	0.541765873015873	0.331345025726556	0.5588047071870065
PID_INTEGRIN1_PATHWAY	10	0.538529128949899	0.311075874751338	0.5389483227619567
PID_UPA_UPAR_PATHWAY	10	0.694307974790333	0.0211515503674236	0.08247525126557366
PID_INTEGRIN_A4B1_PATHWAY	10	0.519618055555556	0.418895198783655	0.6449462497476958
SVM T cells regulatory (Tregs)	11	0.669346395453186	0.00450279645778447	0.024727049055598575
DMAP_MEGA2	12	0.831907556616599	1.35285122755499e-6	2.3533065305129946e-5
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	12	0.566261001691465	0.0753267500889802	0.21463645963266878
REACTOME_MEIOTIC_RECOMBINATION	12	0.548807984349614	0.24609370640401	0.4627934827493021
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	12	0.684820451606486	0.00445832681776342	0.024594912905155232
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	12	0.608367602360093	0.00135357555963123	0.009797525107800546
REACTOME_CELL_JUNCTION_ORGANIZATION	12	0.511294170269867	0.440421797881163	0.6620138104736366
KEGG_ARACHIDONIC_ACID_METABOLISM	12	0.468372211816789	0.653105275907955	0.8324710849971911
BIOCARTA_INTEGRIN_PATHWAY	13	0.718116235023728	0.0025202154730984	0.015711285478246382
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	13	0.603694874851013	0.0915469237479398	0.2414018514967068
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	13	0.57696897374701706	0.130588900633094	0.30717585459714697
REACTOME_GLUCOSE_METABOLISM	13	0.716469294076106	2.28870561245674e-4	0.002211792381152789
REACTOME_MUSCLE_CONTRACTION	13	0.71503053776255	0.0027560951493613	0.01674618940048542
REACTOME_ION_CHANNEL_TRANSPORT	13	0.487437996031746	0.559439497777305	0.7608518264222237
KEGG_ARGININE_AND_PROLINE_METABOLISM	13	0.544431191292679	0.270576403593304	0.4933805655423955
KEGG_CALCIUM_SIGNALING_PATHWAY	13	0.60682808558042	0.00624660257303597	0.032080766071520446
DMAP_HSC1	15	0.471606233143542	0.661257709137158	0.8365588730843694
KEGG_BASAL_CELL_CARCINOMA	15	0.439391680333979	0.74169981053188	0.8873247317344788
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	15	0.676884920634921	0.0504914787581169	0.15945844755674693
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	15	0.492800199302441	0.537632719331964	0.7509020208971529
PID_HIF2PATHWAY	15	0.669469246031746	0.0580806091371519	0.17620235430216125
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	16	0.628894022954241	0.079708174087268	0.2215674042882017
KEGG_PEROXISOME	16	0.703282720273738	0.00166165754840506	0.011561920425515208
DMAP_NKA3	17	0.700227163441609	0.00664327858225654	0.03379611297624376
SVM T cells CD8	17	0.636845033055906	0.0175968138600376	0.07229776665924019
SVM T cells gamma delta	17	0.591634260644132	0.0953871223733164	0.2487908379192787
SVM NK cells resting	17	0.805009468281258	6.56278577388409e-6	9.968964024132381e-5
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	17	0.660631016847172	0.00149901944445813	0.010706572654623134
KEGG_GRAFT_VERSUS_HOST_DISEASE	17	0.483984355661171	0.545487818946291	0.7556827226337018
REACTOME_IRON_UPTAKE_AND_TRANSPORT	18	0.522377691773345	0.409659531043025	0.6372875160075109
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	18	0.757274452826127	7.63427999289839e-10	2.5729909288565355e-8
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	18	0.782919208451123	0.00408262780503333	0.02287331993625167
KEGG_PPAR_SIGNALING_PATHWAY	18	0.805866454426371	6.11720731460918e-5	7.210282064268853e-4
KEGG_ARGININE_AND_PROLINE_METABOLISM	18	0.880190472640525	3.40139279612261e-6	5.516394181380804e-5
REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS	18	0.841944609886837	2.29690075743266e-4	0.002211792381152789
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	18	0.710032428805725	0.00657231253489315	0.03351413271339131
KEGG_GLYCEROLIPID_METABOLISM	18	0.435970919557342	0.743769578265707	0.8888149475452245
KEGG_ARACHIDONIC_ACID_METABOLISM	18	0.581580963732334	0.183425504377739	0.38043155090652214
PID_PTP1BPATHWAY	19	0.519397194867204	0.403261195214946	0.6322279990135891
REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM	19	0.5355122096486	0.356942262615246	0.5841611991358768
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM	19	0.3954636367505	0.878257707086307	0.960270589492999
PID_TXA2PATHWAY	19	0.381768656716418	0.942302322879363	0.9808169353571693
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	19	0.423357228195938	0.846998369551285	0.9461291989239367
SVM T cells CD4 memory activated	20	0.627478014607244	0.0937191348088535	0.24592721871374332
SVM Mast cells resting	20	0.624086911150865	0.0998042795188029	0.25634555912635815
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	20	0.42744542244766	0.786819756754524	0.9176271650604313
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	20	0.734916942433079	1.89523804780189e-5	2.539148117458806e-4
KEGG_JAK_STAT_SIGNALING_PATHWAY	20	0.586967116768441	0.0726868522364435	0.20849140993884127
IRIS_Monocyte-Day7	21	0.477787990196078	0.727059692928014	0.8797387195945671
DMAP_MONO1	21	0.56113621919356	0.15196213006713	0.3396707922847662
SVM Macrophages M2	21	0.579662964381463	0.195409008990568	0.3950302084279805
REACTOME_LIPID_DIGESTION_MOBILIZATION_AND_TRANSPORT	21	0.506796646326338	0.473024985054127	0.6894019545687513
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	21	0.511136310147842	0.432509503205299	0.6560639932586709
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	21	0.677081780229611	0.0204723406301259	0.08058182251675469
DMAP_DENDA1	22	0.539453649798477	0.303096157889069	0.5298042241221409
KEGG_ECM_RECEPTOR_INTERACTION	22	0.715766910921689	9.90266976063266e-4	0.007655935008489122
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION	22	0.448186558316739	0.780482381287531	0.9134565905790583
KEGG_PPAR_SIGNALING_PATHWAY	22	0.791672884644083	1.44854479523292e-4	0.0015167529724841788
REACTOME_TRIGLYCERIDE_BIOSYNTHESIS	22	0.626018508669291	0.0840157868750141	0.22652756536175678
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	22	0.6545373049183	0.0169446049250069	0.07028752466007669
KEGG_GLYCEROLIPID_METABOLISM	22	0.529551883281227	0.382250783435211	0.6125668201112557
PID_DELTANP63PATHWAY	23	0.703281968329644	0.01767911536752	0.07249781720102783
KEGG_PPAR_SIGNALING_PATHWAY	23	0.522500787610473	0.396010342630748	0.6267016207296577
PID_BETACATENIN_NUC_PATHWAY	24	0.534205281514699	0.316155956754204	0.5429525467506513
REACTOME_SPHINGOLIPID_METABOLISM	24	0.55039125965715	0.270853344614839	0.49343806109308086
PID_DELTANP63PATHWAY	24	0.783681678869402	0.00122231333558023	0.009060240085383356
IRIS_DendriticCell-LPSstimulated	25	0.680174630821164	1.83103490860277e-7	3.949542297856175e-6
SVM Macrophages M1	25	0.913426478387696	2.14405061047944e-7	4.534036438043286e-6
SVM Dendritic cells activated	25	0.779149976237355	8.14082027746262e-5	9.29087266586607e-4
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	25	0.405765344112328	0.844915266145137	0.9442913104015858
REACTOME_INTERFERON_GAMMA_SIGNALING	25	0.742704449415859	0.00150793725518936	0.010734721648328217
PID_CXCR3PATHWAY	25	0.437444113263785	0.764254753480381	0.9022974839940787
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	25	0.585049129912991	0.0832104339364121	0.2252006348818581
KEGG_ALLOGRAFT_REJECTION	25	0.547097684085511	0.393250429711877	0.6232484767733422
IRIS_DendriticCell-Control	26	0.774124273895441	8.08294706029834e-14	6.226756003236972e-12
SVM Macrophages M2	26	0.789693178433125	5.50301937224071e-4	0.00460078014958264
SVM Dendritic cells resting	26	0.980327868852459	3.74338167945495e-9	1.0624308266558324e-7
PID_TAP63PATHWAY	27	0.598691737551609	0.104811443749352	0.26380196518944254
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	27	0.645485790360267	0.0206040785570195	0.0808054499045292
PID_DELTANP63PATHWAY	27	0.586859356376639	0.164826461684685	0.35798514285091443
PID_A6B1_A6B4_INTEGRIN_PATHWAY	27	0.619977013451388	0.0891000824416671	0.2366858101313743
REACTOME_CELL_JUNCTION_ORGANIZATION	27	0.759094975398837	9.38642636885585e-4	0.007362371519135298
KEGG_AXON_GUIDANCE	27	0.579430081744732	0.0712922271128971	0.20531019209949136
DMAP_BASO1	28	0.469798159691303	0.564868380610772	0.7636005674058307
DMAP_BCELLA1	28	0.46525385652239	0.690190559560882	0.8538491185837608
REACTOME_METABOLISM_OF_NON_CODING_RNA	28	0.702020578586341	0.0145940310211455	0.06233529685665514
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	28	0.596924603174603	0.182297062009977	0.3788196172981892
KEGG_OOCYTE_MEIOSIS	28	0.577136304322037	0.099769517207953	0.25634555912635815
PID_AURORA_B_PATHWAY	28	0.485356717180317	0.558849144036838	0.7605284565851481
REACTOME_IRON_UPTAKE_AND_TRANSPORT	29	0.554678971916245	0.268258614793737	0.49120019703742845
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	29	0.511829359165425	0.438722492960125	0.6608410735439872
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	29	0.445982142857143	0.729433550535427	0.8809564213353392
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	29	0.554521540599563	0.268118927528488	0.49120019703742845
REACTOME_PLATELET_HOMEOSTASIS	29	0.54374286801065	0.251505359026358	0.469288113684995
REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_XBP1S	29	0.509110895811596	0.452742162148389	0.6716597714217163
DMAP_ERY3	30	0.949372179950887	2.60623478957564e-55	5.621648441114655e-52
DMAP_ERY4	30	0.983726937443627	4.89262721238737e-54	5.276698448559779e-51
DMAP_ERY5	30	0.975558797699652	2.72707837950498e-52	1.9607693548640806e-49
PID_ATF2_PATHWAY	30	0.456112852664577	0.704950114943831	0.8639023686515594
REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	30	0.535702158292925	0.323049629750923	0.55084430938556594
PID_PI3KCIAKTPATHWAY	30	0.657738538453356	0.0526057815676585	0.16421225881539708
IRIS_Bcell-Memory_IgM	31	0.681332236842105	0.00776855534809395	0.0382574746252024
DMAP_BCELLA4	31	0.729955078157376	0.0039511187220463	0.02225212293329992
DMAP_GRAN1	31	0.51859349737096	0.406237092105875	0.6336669284038293
DMAP_PRE_BCELL2	31	0.687824795842613	0.105344447659888	0.2648344680680401
SVM B cells naive	31	0.779248292707243	9.8182632877940907e-05	0.0010916491707098892
SIG_BCR_SIGNALING_PATHWAY	31	0.728494490015743	0.00413887516299552	0.023128377530003463
PID_RB_1PATHWAY	31	0.657990545019834	0.0218815290700005	0.08398302171528661
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	31	0.555182558841279	0.149115940450945	0.3350448787007171
PID_BCR_5PATHWAY	31	0.712182939741288	0.0016035852151549	0.0112668837429613
REACTOME_POTASSIUM_CHANNELS	32	0.707044776119403	0.00534668215429962	0.028157374369697584
KEGG_NOTCH_SIGNALING_PATHWAY	32	0.615940948404414	0.100411496588469	0.2569247902032356
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	33	0.586906064524686	0.146826804955915	0.3309356512956203
REACTOME_LOSS_OF_NLP_FROM_MITOTIC_CENTROSOMES	33	0.63670697118973	0.040647459099622	0.13509486791661734
IRIS_Bcell-naive	34	0.615047276772344	0.044267781688459	0.14389191491393089
SVM B cells memory	34	0.631311998404865	0.0357904282902798	0.12273442579035536
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	34	0.824996280315429	0.00201600874515548	0.013462943849227152
SIG_CD40PATHWAYMAP	34	0.664408714207732	0.0555965563733016	0.17156190571847146
KEGG_PRIMARY_IMMUNODEFICIENCY	34	0.619875421878102	0.122626028086244	0.29387247575315933
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	34	0.756113927825828	0.00207430245230016	0.01368750305033638
ST_ERK1_ERK2_MAPK_PATHWAY	34	0.801884920634921	0.00172806715950093	0.011870830774023906
SVM Mast cells activated	35	0.588138876471465	0.176902661352584	0.3726357817749255
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	35	0.601680672268908	0.142332785784264	0.3243855372680036
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	35	0.660142197245461	0.045769959093344303	0.1471323424207804
