LV	logFC	AveExpr	t	P.Value	adj.P.Val	B
1,REACTOME_MRNA_SPLICING	0.014029763443078628	1.5034270125132329e-18	0.5772376957274615	0.5663017117523702	0.9863536020464316	-6.630847285492506
2,SVM Monocytes	-0.010435878841982086	-8.480870326997723e-19	-0.5811473399284537	0.5636838897727816	0.9863536020464316	-6.62858190273434
3,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	-0.15541055202718873	2.3515140452130053e-18	-4.366909019238922	6.125469196423795e-5	0.039212006083569034	1.349715749857685
4,REACTOME_NEURONAL_SYSTEM	-0.08766401657452814	-3.4116228360877204e-18	-2.334865579978932	0.02349735323310279	0.7893861127786669	-4.190936686068601
LV 5	0.011441157754197205	-3.503177686208719e-18	1.0270569885272804	0.3092083829779014	0.9612504630395036	-6.272387285449362
LV 6	0.0034684609609183735	-4.110330902800601e-18	0.3255107586058415	0.7461174849377571	0.9863536020464316	-6.744776622518487
7,IRIS_Neutrophil-Resting	-0.03152873769654439	1.1564823173178713e-18	-2.005718946227681	0.05016972589337362	0.8175458035824131	-4.848831864517586
8,KEGG_PPAR_SIGNALING_PATHWAY	-0.014164676472262902	-7.13164095679354e-19	-1.1792259868184898	0.24374415557698742	0.9470929730206934	-6.107322108119947
LV 9	0.021766772948043935	-2.3515140452130053e-18	0.8466390192139193	0.4011255908829495	0.9863536020464316	-6.439678925982107
10,SVM Macrophages M0	0.006712598358365416	4.051302117854168e-18	0.49585055563701347	0.6221159066623732	0.9863536020464316	-6.674572674818911
LV 11	-0.00789800782336275	-1.975657292084697e-18	-0.4285440623371546	0.6700477469688013	0.9863536020464316	-6.7057683184101
12,DMAP_MEGA2	-0.011677113925102636	5.541477770481467e-19	-0.9891388413913372	0.3272342001836608	0.9612504630395036	-6.310124849587502
13,REACTOME_GLUCOSE_METABOLISM	8.695442768790632e-4	2.4334315426896876e-18	0.059513677371963926	0.9527740272828132	0.9867482955484155	-6.796288970511198
LV 14	-0.007348888283377087	3.4694469519536144e-19	-0.6541574196287747	0.5159300865705647	0.9863536020464316	-6.583510015658146
LV 15	0.005477109442493136	-9.637352644315595e-21	0.5264263456939311	0.6008590092046642	0.9863536020464316	-6.658914994657311
LV 16	-0.011895639131395061	-1.6576246548222824e-18	-0.7996659298949265	0.4275888623624272	0.9863536020464316	-6.478103160723875
17,SVM NK cells resting	0.019394116313849644	1.498608336191075e-18	1.261621769301187	0.21278699029010661	0.9470929730206934	-6.008949784577247
18,REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS	-0.02253074156663006	-5.1318902830980546e-18	-1.4861058645237888	0.1433665637507226	0.9470929730206934	-5.709585642644605
LV 19	0.009723644504371992	2.8622937353617316e-18	0.6803895596440721	0.4993147737362653	0.9863536020464316	-6.566036329031611
