LV	Control...GPAneg	Control...GPApos	GPAneg...GPApos	AveExpr	F	P.Value	adj.P.Val
1,REACTOME_MRNA_SPLICING	-0.025654223931232886	-0.024990854720325792	6.633692109070943e-4	0.08297750053004992	1.8549025645049582	0.16454985036036618	0.3105367156896394
2,SVM Monocytes	-0.053843521020328536	-0.04253790963925007	0.011305611381078468	0.15286277486561373	2.8104483486670975	0.06741215977768236	0.17509421500150657
3,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	-0.01446513444593868	-0.011425432657214622	0.003039701788724057	-0.04607185380099896	0.9510155187239122	0.39158943431211646	0.549595875484757
4,REACTOME_NEURONAL_SYSTEM	0.01686282875474708	0.015162346686164709	-0.0017004820685823721	-0.04241424954279124	1.5664959732877748	0.2164541376540627	0.3734969123506292
LV 5	0.007590105786394966	-0.008618454485762681	-0.016208560272157647	-0.009539848107599839	3.7396894282836177	0.028950805196179822	0.10111582487498832
LV 6	0.006184687934182705	-0.006665411834550862	-0.012850099768733567	-0.0442562567815038	2.1025975263393843	0.13026335229980868	0.270104892268721
7,IRIS_Neutrophil-Resting	-0.013860251709691643	-0.018004391961861224	-0.004144140252169581	-0.12139292374026656	3.024180554332656	0.055394866695751756	0.15532594724064486
8,KEGG_PPAR_SIGNALING_PATHWAY	0.007864454707509919	0.008001822432961367	1.3736772545144826e-4	-0.024856801357117726	0.9695524445860217	0.38459939568804624	0.5446192303358703
LV 9	-0.04804029584768655	-0.021484920216515706	0.026555375631170844	0.048996843687270024	3.476140524275523	0.036712722358785935	0.11503319672419593
10,SVM Macrophages M0	-0.017610693596410362	-0.038164337576302	-0.020553643979891636	0.007541852204625185	14.32087196113138	6.854911542616412e-6	3.6353020344748313e-4
LV 11	-0.0021526070837095067	-1.4712662177350554e-5	0.002137894421532156	0.0016078604929954646	0.038136581019082946	0.9626027028176474	0.9810927191007466
12,DMAP_MEGA2	-0.0043602043702432	-0.02516319097301231	-0.02080298660276911	0.0011786661892849342	2.1320968447855724	0.12670240654705386	0.26715263682784907
13,REACTOME_GLUCOSE_METABOLISM	-0.005481097354820157	-0.006434106225219567	-9.530088703994105e-4	-0.0498992865567751	0.3801679836606862	0.6852372137518168	0.7791810253145659
LV 14	3.8504202673001614e-4	7.496190276307553e-4	3.6457700090073916e-4	-0.025159514078959517	0.00669424081762505	0.9933287915107027	0.9943362243621335
LV 15	0.005988498589381407	0.011738110891406896	0.005749612302025489	-0.056147462156417055	0.9466656789517124	0.39324858381855765	0.5497682042902499
LV 16	-0.0011304932951765687	-0.022772211322341637	-0.021641718027165066	-0.005583330247325401	6.915599139546689	0.0018783511977303162	0.017859884826083104
17,SVM NK cells resting	0.003999980966600786	0.00971574814444022	0.005715767177839434	0.05566972765659729	0.4301024818659227	0.652256218571396	0.7532335308658645
18,REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS	0.008987840714601604	0.012991512816600978	0.004003672101999374	-0.02714961509280129	1.0547020565197638	0.3541043929566395	0.5143481501863603
LV 19	0.0013429231314782478	-0.013843936190602632	-0.01518685932208088	-0.05238085958038652	1.930580057632041	0.15318548247740377	0.29579320980010093
20,KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.0025165164877349183	0.006880664846970738	0.00436414835923582	-0.06636441285797785	0.29052113279673364	0.7488271900924937	0.8212138184681014
LV 21	-0.024449918923359834	-0.05099305287192461	-0.02654313394856478	0.032431241062435126	9.947415210666277	1.678881331899946e-4	0.003602295379533145
22,KEGG_PPAR_SIGNALING_PATHWAY	-4.04288745186783e-4	-0.019346147590287403	-0.01894185884510062	-0.03001515644677877	3.1313594909140887	0.05022280862679111	0.14494126349310768
LV 23	0.0030910843077005465	-0.011936929548470407	-0.015028013856170953	-0.04139811038418105	2.710212110205565	0.07394408074890985	0.18692516006304294
24,PID_DELTANP63PATHWAY	0.0075225702926673375	-0.010307223226628128	-0.017829793519295464	-0.01982914632102501	1.9284088884879607	0.15349998687705171	0.29579320980010093
25,SVM Macrophages M1	-0.012516907696429491	-0.01902479167139765	-0.006507883974968157	0.029007439259996402	0.7200930966415261	0.49049875080784117	0.6214663248361223
26,SVM Macrophages M2	-0.005977301312475487	-0.0037876369292284585	0.0021896643832470288	-0.009226924075444669	0.25324893600019027	0.7770270884359625	0.8446318681567125
27,REACTOME_CELL_JUNCTION_ORGANIZATION	-0.0077798228411456935	-0.012556396695296877	-0.004776573854151183	-0.02687010780585089	0.9466670570807696	0.39324805701644094	0.5497682042902499
LV 28	-0.0031528219094107183	0.0039888051030009496	0.007141627012411668	-0.007250931184660956	0.416570782111338	0.6610287956235725	0.7613015417508355
LV 29	-0.008516098248355117	-0.00918809098839514	-6.71992740040022e-4	0.017853531289195118	1.55678872564824	0.21846950102411536	0.37566097127317394
30,DMAP_ERY3	-0.008929906318606115	-0.11280324624254004	-0.10387333992393392	-0.01835803041262305	6.156210998271339	0.003539685473503343	0.02626819219810376
31,SVM B cells naive	0.024699738689109074	0.034684103308973147	0.009984364619864072	0.048483229367356856	4.485621034293592	0.014916423852177816	0.06680046041495463
LV 32	-0.009674004886668919	0.010238290115407042	0.01991229500207596	-0.0018373153881423804	2.812063356775536	0.06731192673718303	0.17509421500150657
LV 33	-0.004853080036446515	-0.009954292093691643	-0.005101212057245128	-0.009599190733433488	0.8678160614866832	0.42461268775011424	0.5717499629049969
LV 34	0.0061860088526829865	0.00929981464372235	0.0031138057910393632	0.03842049523652901	0.2790125050105552	0.757420205200743	0.8278778987077888
LV 35	0.008170362743000023	0.017558382251870508	0.009388019508870483	0.019228330600418293	0.5611554441296778	0.5732532604394132	0.6874859879145817
LV 36	-6.966858290113342e-4	0.008678139316973378	0.009374825145984712	0.014810280241403156	1.7010505712490296	0.19041088038402265	0.34110099933267723
37,MIPS_60S_RIBOSOMAL_SUBUNIT_CYTOPLASMIC	0.002938372087367351	0.00572455984641624	0.0027861877590488887	0.034093169011129	1.371642144696285	0.26084105923360473	0.42695829930717366
38,PID_PLK1_PATHWAY	0.002197912494204493	-0.1060515173869675	-0.10824942988117199	-0.07376715980303589	7.581121313694266	0.0010886360198823363	0.01294558736896224
39,SVM Dendritic cells resting	-0.011340315109877923	1.6505643799633735e-4	0.01150537154787426	0.027686339779442074	0.9893427995207982	0.3772784653789361	0.5370211752188325
LV 40	-6.404889799474962e-4	0.005854271789021599	0.0064947607689690955	-0.02575719631397915	0.7432862018584903	0.479495149055396	0.6160354571731199
LV 41	0.0027921728795878894	0.011950677752038745	0.009158504872450856	0.011701787968989592	2.192121721016156	0.11976297239287297	0.2580918204187022
