pathway	LV index	AUC	p-value	FDR
DMAP_HSC3	1	0.479995587999358	0.61286130240746	0.6869153764483614
DMAP_PRE_BCELL2	1	0.816671955992807	0.0246272746279823	0.07010303571351575
KEGG_ABC_TRANSPORTERS	1	0.51683892510733	0.446368346438696	0.5637234046573203
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	1	0.731309599491418	0.0318726267151156	0.08560502196541718
KEGG_HEDGEHOG_SIGNALING_PATHWAY	1	0.729742948134668	0.0146717012367697	0.045891716659198244
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	1	0.465804761130972	0.755588687407134	0.8130134276500762
KEGG_ARGININE_AND_PROLINE_METABOLISM	1	0.554544368328819	0.290155572127857	0.4140681639384272
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	1	0.713364202458886	0.00779484052211187	0.027409308502589453
REACTOME_POTASSIUM_CHANNELS	1	0.442087917929092	0.73325359002863	0.7953436117649253
IRIS_Neutrophil-Resting	2	0.768706858007338	1.30500154839291e-19	8.776135412942319e-18
DMAP_GRAN2	2	0.816638991554627	6.88352384841753e-10	1.3226199394459398e-8
DMAP_GRAN3	2	0.709071390230811	8.08267846088319e-6	5.7216855420462576e-5
SVM Monocytes	2	0.856862432173635	2.01605503058846e-7	2.0464860499180972e-6
SVM Neutrophils	2	0.974797479747975	6.86711873458935e-13	2.4630065861393803e-11
DMAP_ERY3	5	0.728838749508896	1.31437912075173e-13	5.439507438187929e-12
DMAP_ERY4	5	0.749736715882549	7.93938622778735e-14	3.5594914921246625e-12
DMAP_ERY5	5	0.703237072560467	9.34300697233409e-10	1.6755125837052468e-8
DMAP_MEGA2	5	0.548398526077097	0.29576885030059	0.4180706407620438
PID_PI3KCIAKTPATHWAY	5	0.341848373919041	0.924003920948337	0.9361847635973735
IRIS_DendriticCell-LPSstimulated	6	0.521070838902429	0.272930283987181	0.3968553859056848
DMAP_GRAN3	6	0.527455716586151	0.296845696600559	0.4180706407620438
REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING	6	0.741609670749165	0.00610922234965701	0.022512065918599118
REACTOME_INTERFERON_SIGNALING	6	0.761989664082687	1.23273497979846e-8	1.6175888271501742e-7
