LV	Living.donor.control...Nephrotic.syndrome	Living.donor.control...Vasculitis	Nephrotic.syndrome...Vasculitis	AveExpr	F	P.Value	adj.P.Val
1,REACTOME_MRNA_SPLICING	0.015545126980882751	-0.0528077203622809	-0.06835284734316366	4.2624633981144406e-17	5.295758497856291	0.006307290949737848	0.017544166763575612
2,SVM Monocytes	-0.02317336332892781	-0.0981864703280848	-0.07501310699915698	2.4433270387084045e-18	20.02472521810826	3.446554771143294e-8	1.2599072441179375e-6
3,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	0.014673625343617505	0.011183315568023863	-0.0034903097755936414	1.8166194615056227e-17	0.6628369266403545	0.5173435137858456	0.5951259301942071
4,REACTOME_NEURONAL_SYSTEM	0.03410797197906184	0.06535814383405623	0.031250171854994395	1.9829283304636672e-17	12.033046645922864	1.797254706725377e-5	1.7056638418634106e-4
LV 5	-0.01788959817883251	-4.7343960596095067e-4	0.017416158572871557	4.323643377847551e-17	4.977940100700634	0.008444181271692795	0.022586468604771787
LV 6	0.01004699831331049	0.026125240856372377	0.01607824254306189	-4.0584252615915545e-17	3.286922048548365	0.040906371071348216	0.07947753592011947
7,IRIS_Neutrophil-Resting	-0.012303281937239513	-0.059724224002011175	-0.04742094206477167	3.994413771720479e-17	11.928767195665921	1.9592637368639032e-5	1.8121486590812644e-4
8,KEGG_PPAR_SIGNALING_PATHWAY	0.04749151050053841	0.09343289276705757	0.04594138226651916	-3.4065245044432946e-17	22.508830865803414	5.618501510974736e-9	3.46591311958254e-7
LV 9	-0.022004666062611967	-0.040458242486994214	-0.018453576424382247	1.3858427054734358e-17	0.8213215752607562	0.4424114186643725	0.5242017649720716
10,SVM Macrophages M0	0.010197159618659926	-0.10421887611012357	-0.11441603572878349	2.4636558294425077e-18	37.91685830553589	2.241638929832031e-13	2.2124976237442146e-10
LV 11	0.008847131192369791	-0.0075480551673437575	-0.01639518635971355	-4.770295951405418e-17	0.9656847849379426	0.38378574069355814	0.4717266825212228
12,DMAP_MEGA2	-0.030054594483509348	-0.025535971451220253	0.004518623032289098	2.7995648953822133e-17	8.070202840487578	5.249676944364063e-4	0.0025778264398444426
13,REACTOME_GLUCOSE_METABOLISM	0.017970832887648693	0.028780810713053773	0.010809977825405081	5.2583805365546965e-18	3.7313083731257293	0.02690846945001843	0.056149385511983486
LV 14	0.015550763040821806	0.003363074002730418	-0.012187689038091387	1.4125605447239714e-17	3.3794565318574294	0.037480401561985864	0.07362728400382704
LV 15	0.025855484191141014	0.045837542439616595	0.01998205824847558	1.9035492428352643e-17	15.003679859764091	1.620937535491031e-6	2.3878587276561905e-5
LV 16	0.007087447577026695	0.04069393483720073	0.03360648726017404	4.299636044028229e-17	9.467425053688753	1.5615378879507382e-4	9.693320096901751e-4
17,SVM NK cells resting	-0.029932995903589714	-0.058906895480076236	-0.028973899576486523	-3.167419203904081e-18	10.570986938928746	6.1002802075854535e-5	4.444775569412457e-4
18,REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS	0.06955664088827594	0.14400497791899383	0.07444833703071789	9.388029168539662e-18	25.18436827383905	8.473011684254099e-10	8.362862532358796e-8
LV 19	-0.008581857929120182	-0.0061408747235732475	0.002440983205546934	4.902336287411689e-17	0.3787216343482727	0.6855864167304666	0.7535342909943993
20,KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.019043849538569805	0.046472587024384615	0.027428737485814814	-3.2902631821973044e-17	6.709409002536691	0.0017533781747263175	0.006681792503686778
LV 21	-0.004393365978283723	-0.08695541198814609	-0.08256204600986236	-2.8284124174715597e-17	34.1736602668599	2.239824785627892e-12	1.1053535317073646e-9
22,KEGG_PPAR_SIGNALING_PATHWAY	0.003809021889652128	0.008973881911677998	0.00516486002202587	-4.323256162785949e-18	0.4304215683536483	0.6512773504618139	0.7238859739930296
LV 23	-0.0072189766679355335	-0.03649300377044913	-0.0292740271025136	2.81873204093151e-17	6.485033728408058	0.002144358193845728	0.007718284444581265
24,PID_DELTANP63PATHWAY	0.004277298554314007	0.015162223084925862	0.010884924530611855	1.566672139241554e-17	1.6363242605522392	0.19919137558792466	0.27573897293868393
25,SVM Macrophages M1	-0.012525561071260643	-0.03966736941868536	-0.027141808347424717	3.23421380203042e-17	5.968169075588051	0.0034186211757763034	0.011062882296692497
26,SVM Macrophages M2	0.006667194948736444	-0.03835328037164889	-0.045020475320385334	-5.1831156089558145e-17	15.294991986691453	1.2871175833351003e-6	1.9544385457719137e-5
27,REACTOME_CELL_JUNCTION_ORGANIZATION	0.021708142183234594	-0.0016679754037652993	-0.023376117586999895	-9.394805432117696e-18	5.222699020673856	0.006743959708288004	0.018518084881093685
LV 28	-0.0030538388016141185	0.002024756241616705	0.005078595043230823	-4.386372217827069e-17	0.19874622834627667	0.8200386740916252	0.8524992417823135
LV 29	0.009754773117444372	0.01696611310721829	0.00721133998977392	-2.646227730987835e-17	2.6030930659310725	0.07840017461925927	0.1327289405646808
30,DMAP_ERY3	0.009256886636085258	0.03588876488615601	0.026631878250070757	-1.0865254628551162e-17	7.457817947044914	9.00471859787291e-4	0.004021564369276273
31,SVM B cells naive	0.013421997641784849	-0.003051100753920813	-0.01647309839570566	3.4375501112541523e-17	3.3113193613724308	0.039973290880778826	0.07812601603827465
LV 32	0.01331292732380013	0.014328386771370875	0.001015459447570746	2.4708193080821442e-17	1.6843366251382812	0.19010950272188537	0.2665846703632513
LV 33	0.005028882091352952	-0.010220230454360652	-0.015249112545713605	1.7237846504865514e-17	3.011620056152964	0.05310666050940144	0.0966478587135836
LV 34	-0.0018766978502139705	-0.017740832961073198	-0.015864135110859226	-1.406945926330743e-17	1.3208526092630468	0.27092307823681416	0.3545364837557962
LV 35	-0.026314415315904373	-0.055480590588649056	-0.029166175272744687	-6.137745941452761e-17	16.2414564874244	6.123264646909628e-7	1.1577763111963695e-5
LV 36	-0.013404995188781956	-0.008577000114330963	0.004827995074450995	1.9800242175016525e-17	2.317038261804327	0.10314676944613828	0.1642030023279653
37,MIPS_60S_RIBOSOMAL_SUBUNIT_CYTOPLASMIC	-0.012405790217869016	-0.011410413326185836	9.953768916831796e-4	-2.9317988389192845e-17	2.61510838623273	0.07750419205877067	0.13143752158420385
38,PID_PLK1_PATHWAY	-0.03535675536077571	-0.14010834070781913	-0.1047515853470434	2.5031517657259084e-17	11.784919678618769	2.2074524992962327e-5	1.9628428980228663e-4
39,SVM Dendritic cells resting	0.0019372894910450467	-0.02308528440213689	-0.025022573893181937	3.6562782191765626e-18	3.1567661956402664	0.046272152168379876	0.08715766066830331
LV 40	-0.019014235176347025	-0.0029581306132530722	0.01605610456309395	-1.1523520233274505e-17	2.3869019769270983	0.09645077383923924	0.15555051271132211
LV 41	-0.031089483941239778	-0.032315364136545455	-0.001225880195305673	8.135194836726501e-17	8.467188879177135	3.7101035302858864e-4	0.0019172105677445915
42,DMAP_HSC1	-0.014181101963178924	0.02325731736804401	0.03743841933122294	-8.709434773082217e-18	9.135926091903288	2.0772384276849336e-4	0.0012425662594697147
LV 43	0.0048408783073489465	-0.002191075575901913	-0.007031953883250859	-1.4786775164925073e-17	0.9109798259065465	0.4050099385981146	0.48808890036183045
LV 44	0.004071560651932543	0.003295439837778802	-7.761208141537408e-4	1.208788618555937e-17	0.28264804552564704	0.7543067994596322	0.8022638050287252
45,REACTOME_RNA_POL_I_PROMOTER_OPENING	-0.01860654770435254	-0.006232016919375831	0.01237453078497671	-2.897288296554009e-17	6.543320796117966	0.0020349696512535773	0.007384246491865003
LV 46	0.023049147114178548	0.033389224599504885	0.010340077485326341	2.978651861373122e-17	12.243468075382554	1.510582201010243e-5	1.4909446323971097e-4
LV 47	0.013436373041902663	0.02355791795302016	0.010121544911117497	5.2286617805767454e-17	4.833647069979722	0.00964495418333324	0.024599555767466606
48,MIPS_RIBOSOME_CYTOPLASMIC	-0.03138822989018734	-0.04655912684490061	-0.015170896954713272	-1.531435568635775e-17	14.643267699884818	2.1588763675322625e-6	3.0011422179638638e-5
49,KEGG_DILATED_CARDIOMYOPATHY	0.02301818090185346	0.05057669205760419	0.027558511155750736	1.1333784853089542e-17	13.416809831836549	5.78717548361614e-6	6.96578317357211e-5
LV 50	0.08789015698783302	0.07477347145211584	-0.013116685535717178	-6.329998219538137e-18	14.683658951838837	2.0904921360990664e-6	2.9475939118996837e-5
LV 51	-0.0058017768907891835	-0.005105733376008887	6.960435147802973e-4	-2.824249855559339e-17	0.5173445699118868	0.5974810677977335	0.6716558245061082
LV 52	-0.0027966315685944896	-0.005780238979932293	-0.002983607411337804	6.440451315860097e-17	0.31570569307592433	0.7299036401379244	0.7864791406289644
LV 53	-0.018670443467555753	-0.06401567478251143	-0.04534523131495567	-1.08923596828633e-17	4.5139605391189335	0.012963084277615791	0.03166971332179898
LV 54	-0.011599678745893627	-0.01793740829540202	-0.006337729549508394	-8.823372804958596e-17	2.1047661932662454	0.126541549315201	0.19274152650324597
LV 55	-0.015327310818454624	0.023328026358611836	0.03865533717706646	-2.5052814485647192e-18	6.981344737128042	0.0013750912974920275	0.005570917493310031
