LV	Group.3...Group.4	Group.3...SHH	Group.4...SHH	AveExpr	F	P.Value	adj.P.Val
1,REACTOME_MRNA_SPLICING	0.1353728195591905	-0.03082359502627631	-0.1661964145854668	-6.260221386112793e-18	67.21775443137038	1.0646516745371657e-24	1.2362484738449205e-23
2,SVM Monocytes	-0.019172537939306993	-0.1049912501246708	-0.0858187121853638	-5.537419937789124e-18	60.2058986158512	1.3838226983372428e-22	1.2304801831160888e-21
3,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	-0.025318831834735128	0.06307210797397184	0.08839093980870696	3.176141732660167e-18	34.816326244959626	2.8329725640838726e-14	1.1229493657633664e-13
4,REACTOME_NEURONAL_SYSTEM	-0.04423998895447565	0.0458987462540236	0.09013873520849924	-2.3357899435301745e-19	23.53629518819724	3.387341708513539e-10	8.775082063787042e-10
LV 5	0.010162099841799032	-0.010516232260512414	-0.020678332102311445	-2.2326956316903248e-18	20.445473380760156	4.954340613081617e-9	1.1698407141415205e-8
LV 6	0.017871228890351337	-0.041173083404141025	-0.05904431229449236	1.4638631437628846e-17	33.47722369703801	8.369271892844042e-14	3.1289664235746475e-13
7,IRIS_Neutrophil-Resting	0.006898753500346936	0.006216028203737421	-6.827252966095159e-4	6.91835112590224e-18	0.42209965752600215	0.6560720752392051	0.6696413012007192
8,KEGG_PPAR_SIGNALING_PATHWAY	0.015553960698529065	0.030436251954333575	0.01488229125580451	1.4271524386243404e-18	12.602518280580515	5.653871170301906e-6	9.458255669640645e-6
LV 9	0.0017835800584812419	-0.017187706930589824	-0.018971286989071065	1.389604805493e-17	2.1947169102630966	0.11324248780966659	0.12600939737107206
10,SVM Macrophages M0	-0.006275414782254957	-0.02973275630674993	-0.023457341524494975	-4.823748613023227e-18	11.738783495886654	1.2541044147929015e-5	2.0392109677110276e-5
LV 11	-0.009552506089644511	0.0019415062571166647	0.011494012346761177	2.2157668609269545e-18	2.5996402508732395	0.07603645058508869	0.08606419349481943
12,DMAP_MEGA2	0.015226381228674127	0.002325467798038581	-0.012900913430635546	6.295220193084255e-18	4.351244915726286	0.013745478333121418	0.01676982338045839
13,REACTOME_GLUCOSE_METABOLISM	0.021384052593108698	0.03217973241467476	0.010795679821566068	6.292176818564998e-19	8.898838006771031	1.7765063958692217e-4	2.586153116110504e-4
LV 14	0.006200972337432839	0.034967727160040936	0.028766754822608095	-2.577357795996243e-19	24.9431684029233	1.0153051198934516e-10	2.7836282037078796e-10
LV 15	-0.014089335539963438	-0.08725156681836561	-0.07316223127840217	-1.8298289297036057e-18	113.51595646283113	4.112817094148944e-37	2.2267304180314309e-35
LV 16	0.008056721110621367	-0.008810000158238499	-0.016866721268859866	2.715260703900101e-18	3.5644506334956247	0.029563461483931183	0.03461344778723615
17,SVM NK cells resting	-0.003988994339095661	-0.005850418846099035	-0.0018614245070033733	6.666892306248584e-18	0.3333423182900697	0.7167998777098579	0.7269532478895372
18,REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS	-0.022792542082008864	-0.009125131857979061	0.0136674102240298	-1.3054174578540381e-18	8.428826349702513	2.767889539343209e-4	3.942145707549419e-4
LV 19	0.010217701530765991	-0.0026947265788012393	-0.01291242810956723	8.451070618163327e-19	4.183533148745615	0.016177363345757232	0.019519630345064043
20,KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.012130936694685499	0.029677657902308748	0.01754672120762325	1.1169184485675232e-18	10.661513004784087	3.4083733510228785e-5	5.264576678340503e-5
LV 21	-1.881981638130418e-4	-0.056554027272685506	-0.05636582910887246	-1.8874628346620456e-18	19.282324608430983	1.3775627860201455e-8	3.083116711568897e-8
22,KEGG_PPAR_SIGNALING_PATHWAY	0.009430989432889541	-0.012758480120203022	-0.02218946955309256	-2.749688878149202e-18	7.615405989987442	5.981922738580497e-4	8.234529627585706e-4
LV 23	-0.008531754363659421	0.03766479628557738	0.046196550649236806	4.1161640372958447e-19	40.00034441422129	4.608448761846359e-16	2.176840533002923e-15
24,PID_DELTANP63PATHWAY	0.008152649215452844	0.0345798304937664	0.02642718127831356	-4.317597388289204e-18	14.703688961946062	8.289957954202205e-7	1.4931000913864191e-6
25,SVM Macrophages M1	-0.006999942979079138	-0.04628187205127898	-0.039281929072199843	2.2064465264617283e-20	13.001999257675557	3.9171272654923365e-6	6.700527922081345e-6
26,SVM Macrophages M2	-0.023652658385966543	-0.04126386341376678	-0.01761120502780024	-5.6564919658550755e-18	18.70380781710074	2.297111742345356e-8	5.016038251537315e-8
27,REACTOME_CELL_JUNCTION_ORGANIZATION	0.03218066848039896	0.004481394246343452	-0.027699274234055507	5.107543286943994e-18	15.266177566152686	4.97977794949258e-7	9.101927474350327e-7
LV 28	0.00696707618012724	-0.005268502470437211	-0.012235578650564452	-8.109261617469213e-18	3.794957388713481	0.023611976366193718	0.028180194284683435
LV 29	0.017436985086671238	-0.012063186066125641	-0.029500171152796878	-1.2679839512671702e-17	24.327221054217663	1.7185063459584505e-10	4.59665518553114e-10
30,DMAP_ERY3	0.017052887960765702	0.06211851867823032	0.04506563071746462	-4.431153300039002e-18	54.17296679793967	1.0437498316282624e-20	8.24144867053676e-20
31,SVM B cells naive	-0.019131711474892545	-0.06430374621022049	-0.045172034735327944	2.0790052184678183e-18	48.212334697569055	8.520080129323423e-19	5.460596810157284e-18
LV 32	-0.0970352706470235	-0.08247419346026374	0.01456107718675975	-4.0058417109727584e-19	25.649022745004864	5.568009270132252e-11	1.5657051708320604e-10
LV 33	-0.02447498767817366	0.01258794120435888	0.03706292888253254	9.938900336265364e-18	19.536924491426532	1.1005974296628542e-8	2.5029715739106846e-8
LV 34	0.01542601303456674	0.043958832553566314	0.028532819518999573	-1.7415710686451367e-18	17.54052630787277	6.458234317983247e-8	1.327974431635305e-7
LV 35	0.005378702655077411	0.004971245861468125	-4.0745679360928543e-4	-4.352025562538306e-19	0.3821001867869446	0.6827707662543128	0.6947368518484605
LV 36	0.010959278863563522	-0.018351073719494855	-0.02931035258305838	-1.3011186913455867e-17	29.26388955249152	2.6687796991566915e-12	8.469728498609822e-12
37,MIPS_60S_RIBOSOMAL_SUBUNIT_CYTOPLASMIC	0.006778535828147804	-0.01957898631823299	-0.026357522146380798	2.286335107592239e-18	25.293396192534537	7.533737599498296e-11	2.0828568657436466e-10
38,PID_PLK1_PATHWAY	-0.0018298244255105546	-0.10571307410869663	-0.10388324968318607	5.942188748850379e-18	14.374490877010683	1.118037826554844e-6	1.9954852347371264e-6
39,SVM Dendritic cells resting	0.025127860845618966	0.02371588382421455	-0.001411977021404413	-5.7186909325924015e-19	12.303799907128763	7.443693857156873e-6	1.2327056773513143e-5
LV 40	-0.053711463011113555	-0.04645855580010852	0.0072529072110050375	-2.031452491604419e-19	20.36274479098526	5.32685136816247e-9	1.2518100715181806e-8
LV 41	-0.0048916852303690994	-0.013846962006548877	-0.008955276776179778	7.893182026601926e-18	4.012052489630822	0.019112963247017247	0.02286605421188609
42,DMAP_HSC1	0.007838876797659267	-0.06723281273709865	-0.07507168953475793	-5.627960329737036e-18	113.44212039600879	4.286512456190191e-37	2.2267304180314309e-35
LV 43	-0.01024245501800621	-0.0373409889824777	-0.02709853396447149	1.2582261317148006e-17	25.616708868359396	5.7229519124763024e-11	1.600156809522411e-10
LV 44	-0.011806623253637486	-0.04856671749054915	-0.036760094236911664	1.7709776749374627e-17	77.96443606148446	8.308539799721302e-28	1.3226659326330524e-26
45,REACTOME_RNA_POL_I_PROMOTER_OPENING	0.019979480217835494	-0.014114857587226758	-0.03409433780506225	7.884242113951607e-18	11.388423502938789	1.7346961356346346e-5	2.7647567655494914e-5
LV 46	0.009640283961100895	0.06669889113707221	0.05705860717597132	6.235113546328918e-19	66.035014758986	2.3923044739374844e-24	2.6530387817711205e-23
LV 47	0.008143927392917463	-0.03400216350378401	-0.042146090896701474	6.798137832391567e-19	67.3274652605056	9.878520594036224e-25	1.1607261697992563e-23
48,MIPS_RIBOSOME_CYTOPLASMIC	0.042674505512807416	-0.027760437984095658	-0.07043494349690307	-1.2566854233644265e-17	57.310415105800374	1.084384631580208e-21	8.91906359474721e-21
49,KEGG_DILATED_CARDIOMYOPATHY	0.002626029485071062	-0.027068893314646184	-0.029694922799717246	-4.794456133275373e-18	13.32699620200341	2.908061942380436e-6	5.053269607622342e-6
LV 50	0.04480511415175947	-0.03922056154222496	-0.08402567569398443	-2.1181886654032592e-18	20.39424011532731	5.1818194432512195e-9	1.2206338402121608e-8
LV 51	0.013831727397339209	0.02043404589526945	0.0066023184979302416	9.240255673188302e-18	9.075357691625513	1.5044998226605396e-4	2.1999130740236336e-4
LV 52	-9.827237675302716e-4	0.03736743226261418	0.03835015603014445	-4.264528545109651e-18	26.11010602788805	3.765812691377119e-11	1.083631815273824e-10
LV 53	-0.005382958933408781	-0.06800851289469916	-0.06262555396129038	6.269351509670566e-19	11.929833790990465	1.0510900905757274e-5	1.7175925817851704e-5
LV 54	0.004458830495493221	-0.014637298611661012	-0.019096129107154233	3.971603747631111e-19	7.747412060529364	5.277203154251574e-4	7.294957301465411e-4
LV 55	0.008724829889934506	-0.02103490765924783	-0.029759737549182333	2.57773821781115e-18	13.528769786750825	2.417810234437134e-6	4.238683306197959e-6
LV 56	-0.00723014445184356	-0.02101078849795475	-0.013780644046111191	-3.484663824549902e-18	2.718539264622956	0.06765771157729077	0.07702210072293654
57,SVM T cells CD4 memory activated	0.014748813791562404	0.03357633140337149	0.01882751761180909	-2.645833722679538e-18	8.579977379795128	2.3996718677458617e-4	3.422653372059488e-4
58,SVM NK cells resting	0.0341873215310188	0.04191017500733537	0.007722853476316572	-2.581542435960222e-18	20.806008938720005	3.613747832490803e-9	8.615384325286044e-9
LV 59	-0.023641347849661022	-0.02473087731726425	-0.001089529467603228	-6.133921343563604e-18	10.072518120864698	5.905113322259837e-5	8.9666874601084e-5
LV 60	-0.018862715572775954	0.011854824420937805	0.03071753999371376	-7.736258027952708e-18	6.634285794326062	0.0015237841530569974	0.0020241924078967114
61,DMAP_ERY5	-0.009184764970669486	-0.0028240783554687784	0.006360686615200707	-1.5842666481810117e-18	1.672901295290349	0.18951334606783485	0.20538220370148033
LV 62	-0.01016306796525762	-0.012212014189322072	-0.0020489462240644513	-3.1605444382489722e-18	1.4591743615559238	0.23413455056651514	0.25064078243942567
LV 63	0.02200199867013954	0.019089078927563598	-0.0029129197425759425	4.822987769393413e-18	6.25907648532996	0.0021823198276014416	0.0028719328931234973
LV 64	0.02775137605072547	-0.01583136053666307	-0.04358273658738854	1.2207355618556965e-17	41.197610033738016	1.8096563039105135e-16	8.755542999802337e-16
LV 65	0.028107965744137212	-0.025115001783088575	-0.05322296752722579	1.6380963349903797e-18	55.894407231298274	2.9999616276876173e-21	2.4072862817298196e-20
